Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt
4,image,no,0.481027333,0.34167854,0.479457431,0.314951484,0.442109402,-16378.01463,143303.1323,113388.8596,5772.116226,35.18988168,0.92284023,0.24371954,-0.068758065,0.856085253,0.567667824,0.13251533,29.72183908,-81.05287356,97.81609195,0,0,0,34.08333333,3120,1,21.898254,4,23.1572431,3,24.85552
4,image,no,0.488430563,0.500210108,0.48978978,0.509773578,0.442942115,-16383.96768,143138.5358,112705.2642,5591.152294,35.24374699,0.91350365,0.271945255,-0.086645985,0.853782051,0.568264706,0.064399247,31.80474453,-81.62226277,97.89781022,0,0,0,39.41666667,1796.666667,2,17.7424133,4,21.5711825,1,22.3152693
4,image,no,0.286342146,0.30775953,0.275395788,0.305270766,0.441281403,-16372.07699,143047.7384,112011.5392,5556.098592,35.29355333,0.912694779,0.271933735,-0.094096386,1.03040121,0.577704453,0.092950104,32.88554217,-81.71485944,97.45983936,0,0,0,37.66666667,2093.333333,1,15.1073321,5,16.938602,3,18.4833297
4,image,no,0.504612861,0.750641153,0.50291504,0.74840778,0.441587926,-16374.28239,143029.7673,111649.4139,5548.624161,35.32016296,0.912790179,0.269270089,-0.105783482,0.614488839,0.521463801,0.206747153,32.81696429,-81.60714286,97.125,0,0,0,42,1768,1,14.5243346,5,15.4254725,3,17.9155613
4,image,no,0.428475863,0.426501745,0.433172037,0.373338155,0.441480336,-16373.50586,143326.7862,111932.3135,5704.249406,35.32419531,0.86558156,0.377718676,-0.135834515,0.891943128,0.42549642,-0.421419512,27.96217494,-80.47754137,92.27186761,0,0,0,37.14285714,2565.714286,1,13.5603674,5,14.6550737,3,15.6124158
4,image,no,0.53715678,0.723767341,0.534896654,0.708714313,0.44219797,-16378.64968,144371.6801,112455.4765,5764.469799,35.33492593,0.873988839,0.361296875,-0.131225446,0.892174497,0.622782805,0.157828054,26.98660714,-81.41517857,92.13392857,0,0,0,29,4986.666667,2,13.4554489,4,15.265896,1,17.1912633
4,image,no,0.615382837,0.898484919,0.589388087,0.935240444,0.442370137,-16379.87852,143791.3803,112230.3461,5747.305835,35.34265333,0.875797189,0.358076305,-0.13024498,0.892263052,0.590897959,0.080507157,26.61646586,-80.76305221,92.04618474,0.000309,0.066667,1.889616667,29,3154.285714,1,17.710845,5,18.4585624,3,19.9360282
4,image,no,0.404271051,0.611513067,0.411904751,0.620200439,0.445075311,-16399.08552,143278.1413,112005.5615,5693.647706,35.34872892,0.877413163,0.356447898,-0.121667276,0.876284926,0.597601103,0.142836466,26.2047532,-81.01828154,92.24131627,0,0,1.185666667,41.57142857,1611.428571,1,18.5201012,5,19.4737032,3,20.5981364
4,image,no,0.615737884,0.848761728,0.595499859,0.887532691,0.446185373,-16406.92704,142596.673,111778.955,5629.895735,35.33338583,0.876964539,0.355319149,-0.130647754,0.891361702,0.520011848,0.064778607,26.17257683,-80.92671395,91.91252955,0,0,0.594405882,47.63636364,1520,1,14.1623132,5,15.3090637,3,16.5156538
4,image,no,0.504881605,0.761031855,0.489283581,0.809490778,0.444993652,-16398.5239,142492.4251,111678.6443,5762.266219,35.2945037,0.870988839,0.372950893,-0.118209821,0.913299776,0.682080537,0.001573733,26.27232143,-81.46875,91.890625,0,0,0.323264815,47.27272727,1596.363636,2,14.8221348,4,16.2485496,1,17.0700894
