RD,TS_received,TS_sent,AK,RoundTrip,
3479925,3479949,2022-08-16_12-52-40-976416,3479953,24,
3485040,3485153,2022-08-16_12-52-46-307799,3490189,113,
3490211,3490265,2022-08-16_12-52-51-554153,3490268,54,
3495321,3495347,2022-08-16_12-52-56-769870,3495352,26,
3500431,3500456,2022-08-16_12-53-02-013265,3500459,25,
3505545,3505620,2022-08-16_12-53-07-301518,3505623,75,
3510655,3510715,2022-08-16_12-53-12-528683,3510721,60,
3515798,3515821,2022-08-16_12-53-17-771432,3515825,23,
3520946,3520984,2022-08-16_12-53-23-070114,3520988,38,
3526098,3526125,2022-08-16_12-53-28-340221,3526128,27,
3531251,3531290,2022-08-16_12-53-33-626663,3531293,39,
3536405,3536429,2022-08-16_12-53-38-914359,3536432,24,
3541520,3541549,2022-08-16_12-53-44-163804,3541552,29,
3546661,3546684,2022-08-16_12-53-49-430964,3546688,23,
3551800,3551843,2022-08-16_12-53-54-716187,3551847,43,
3556903,3556926,2022-08-16_12-53-59-937496,3556929,23,
3562006,3562032,2022-08-16_12-54-05-171427,3562035,26,
3567143,3567168,2022-08-16_12-54-10-435240,3567171,25,
3572295,3572320,2022-08-16_12-54-15-723643,3572323,25,
3577449,3577500,2022-08-16_12-54-21-034855,3577503,51,
3582594,3582617,2022-08-16_12-54-26-287387,3582621,23,
3587707,3587773,2022-08-16_12-54-31-575770,3587776,66,
3592833,3592870,2022-08-16_12-54-36-803368,3592874,37,
3598003,3598060,2022-08-16_12-54-42-123537,3598063,57,
3603156,3603180,2022-08-16_12-54-47-374234,3603183,24,
3608321,3608356,2022-08-16_12-54-52-674903,3608360,35,
3613463,3613488,2022-08-16_12-54-57-944247,3613491,25,
3618607,3618631,2022-08-16_12-55-03-221662,3618634,24,
3623737,3623759,2022-08-16_12-55-08-479603,3623763,22,
3628875,3628901,2022-08-16_12-55-13-750772,3628904,26,
3634051,3634116,2022-08-16_12-55-19-095390,3634119,65,
3639158,3639196,2022-08-16_12-55-24-313849,3639199,38,
3644265,3644288,2022-08-16_12-55-29-541851,3644291,23,
3649420,3649447,2022-08-16_12-55-34-829005,3649450,27,
3654611,3654656,2022-08-16_12-55-40-177902,3654659,45,
3659718,3659749,2022-08-16_12-55-45-406329,3659752,31,
3664825,3664941,2022-08-16_12-55-50-731535,3669922,116,
3669936,3669964,2022-08-16_12-55-55-877985,3669968,28,
3675033,3675093,2022-08-16_12-56-01-137221,3675096,60,
3680148,3680215,2022-08-16_12-56-06-399058,3680219,67,
3685289,3685316,2022-08-16_12-56-11-631440,3685319,27,
3690444,3690503,2022-08-16_12-56-16-949256,3690506,59,
3695571,3695597,2022-08-16_12-56-22-170107,3695601,26,
3700676,3700699,2022-08-16_12-56-27-403512,3700702,23,
3705783,
3710891,
3716014,3716041,2022-08-16_12-56-43-129677,3716044,27,
3721151,3721188,2022-08-16_12-56-48-412221,3721192,37,
3726257,3726283,2022-08-16_12-56-53-635066,3726286,26,
3731364,
3736479,3736502,2022-08-16_12-57-04-114770,3736507,23,
3741587,3741611,2022-08-16_12-57-09-354432,3741615,24,
3746747,3746771,2022-08-16_12-57-14-648440,3746774,24,
3751889,3751916,2022-08-16_12-57-19-924030,3751919,27,
3756994,3757020,2022-08-16_12-57-25-163269,3757024,26,
3762141,3762176,2022-08-16_12-57-30-442087,3762179,35,
3767249,3767273,2022-08-16_12-57-35-680716,3767276,24,
3772396,3772421,2022-08-16_12-57-40-958786,3772425,25,
3777503,3777527,2022-08-16_12-57-46-197795,3777530,24,
3782661,3782689,2022-08-16_12-57-51-484400,3782692,28,
3787815,3787839,2022-08-16_12-57-56-769635,3787843,24,
3792959,3792982,2022-08-16_12-58-02-047463,3792986,23,
3798067,3798098,2022-08-16_12-58-07-295533,3798102,31,
3803175,3803200,2022-08-16_12-58-12-524507,3803204,25,
3808330,3808356,2022-08-16_12-58-17-815444,3808361,26,
3813437,3813463,2022-08-16_12-58-23-052190,3813467,26,
3818546,3818575,2022-08-16_12-58-28-294130,3818579,29,
3823655,3823681,2022-08-16_12-58-33-528981,3823685,26,
3828794,3828818,2022-08-16_12-58-38-797398,3828821,24,
3833919,3833945,2022-08-16_12-58-44-053143,3833948,26,
3839048,
3844188,3844213,2022-08-16_12-58-54-584896,3844217,25,
3849309,3849334,2022-08-16_12-58-59-839333,3849338,25,
3854417,3854442,2022-08-16_12-59-05-075553,3854445,25,
3859524,3859549,2022-08-16_12-59-10-312412,3859552,25,
3864638,3864664,2022-08-16_12-59-15-557295,3864668,26,
3869782,3869811,2022-08-16_12-59-20-829493,3869814,29,
3874890,3874914,2022-08-16_12-59-26-068385,3874917,24,
3880010,3880033,2022-08-16_12-59-31-317301,3880036,23,
3885120,3885145,2022-08-16_12-59-36-556873,3885149,25,
3890225,3890250,2022-08-16_12-59-41-792282,3890254,25,
3895333,3895358,2022-08-16_12-59-47-029262,3895362,25,
3900443,3900469,2022-08-16_12-59-52-269954,3900472,26,
3905550,3905575,2022-08-16_12-59-57-502598,3905578,25,
3910659,3910683,2022-08-16_13-00-02-742799,3910686,24,
3915806,3915831,2022-08-16_13-00-08-022220,3915834,25,
3920930,3920956,2022-08-16_13-00-13-274657,3920959,26,
3926038,3926062,2022-08-16_13-00-18-515059,3926065,24,
3931165,3931190,2022-08-16_13-00-23-772381,3931193,25,
3936285,3936308,2022-08-16_13-00-29-021126,3936313,23,
3941438,3941461,2022-08-16_13-00-34-302585,3941464,23,
3946562,3946585,2022-08-16_13-00-39-553887,3946590,23,
3951671,3951694,2022-08-16_13-00-44-795079,3951698,23,
3956785,3956807,2022-08-16_13-00-50-036574,3956810,22,
3961885,3961912,2022-08-16_13-00-55-271770,3961915,27,
3966994,3967018,2022-08-16_13-01-00-508170,3967022,24,
3972131,3972157,2022-08-16_13-01-05-777469,3972160,26,
3977269,3977293,2022-08-16_13-01-11-043178,3977298,24,
3982420,3982444,2022-08-16_13-01-16-324134,3982447,24,
3987562,3987585,2022-08-16_13-01-21-594647,3987588,23,
3992668,3992693,2022-08-16_13-01-26-830690,3992697,25,
3997793,3997818,2022-08-16_13-01-32-085936,3997822,25,
4002941,4002966,2022-08-16_13-01-37-365080,4002970,25,
4008086,4008109,2022-08-16_13-01-42-639680,4008112,23,
4013227,4013251,2022-08-16_13-01-47-912215,4013254,24,
4018361,4018389,2022-08-16_13-01-53-180155,4018393,28,
4023535,4023560,2022-08-16_13-01-58-483131,4023564,25,
4028675,4028708,2022-08-16_13-02-03-755943,4028711,33,
4033811,4033836,2022-08-16_13-02-09-023238,4033839,25,
4038952,4038977,2022-08-16_13-02-14-291923,4038980,25,
4044099,4044123,2022-08-16_13-02-19-570183,4044127,24,
4049259,4049283,2022-08-16_13-02-24-861738,4049287,24,
4054399,4054424,2022-08-16_13-02-30-131045,4054434,25,
4059528,4059553,2022-08-16_13-02-35-391034,4059556,25,
4064635,4064659,2022-08-16_13-02-40-624723,4064662,24,
4069772,4069799,2022-08-16_13-02-45-895287,4069803,27,
4074916,4074941,2022-08-16_13-02-51-166887,4074945,25,
4080044,4080084,2022-08-16_13-02-56-433420,4080087,40,
4085182,4085207,2022-08-16_13-03-01-692790,4085210,25,
4090307,4090331,2022-08-16_13-03-06-950560,4090334,24,
4095433,4095462,2022-08-16_13-03-12-206101,4095465,29,
4100583,4100608,2022-08-16_13-03-17-483140,4100612,25,
4105689,4105716,2022-08-16_13-03-22-718396,4105720,27,
4110835,4110860,2022-08-16_13-03-27-999832,4110863,25,
4115942,4115977,2022-08-16_13-03-33-243096,4115980,35,
4121050,4121077,2022-08-16_13-03-38-476701,4121080,27,
4126160,4126184,2022-08-16_13-03-43-713013,4126187,24,
4131297,4131321,2022-08-16_13-03-48-980763,4131324,24,
4136402,4136428,2022-08-16_13-03-54-216777,4136431,26,
4141528,4141569,2022-08-16_13-03-59-486400,4141572,41,
4146635,4146659,2022-08-16_13-04-04-708368,4146662,24,
4151739,4151856,2022-08-16_13-04-10-039683,4156892,117,
4156915,4156950,2022-08-16_13-04-15-261625,4156953,35,
4162046,4162069,2022-08-16_13-04-20-512577,4162072,23,
4167154,4167179,2022-08-16_13-04-25-750782,4167182,25,
4172271,4172331,2022-08-16_13-04-31-032808,4172334,60,
4177370,4177423,2022-08-16_13-04-36-253046,4177429,53,
4182486,4182512,2022-08-16_13-04-41-472249,4182515,26,
4187586,4187609,2022-08-16_13-04-46-703932,4187612,23,
4192738,4192797,2022-08-16_13-04-52-024702,4192800,59,
4197863,4202963,2022-08-16_13-04-57-403543,4202966,5100,
4202967,4203088,2022-08-16_13-05-02-571610,4208064,121,
4208078,4208103,2022-08-16_13-05-07-718231,4208106,25,
4213176,4213203,2022-08-16_13-05-12-944983,4213207,27,
4218289,4223388,2022-08-16_13-05-18-358059,4223392,5099,
4223393,4223418,2022-08-16_13-05-23-423658,4223423,25,
4228500,4228530,2022-08-16_13-05-28-658558,4228533,30,
4233618,4233643,2022-08-16_13-05-33-907476,4233654,25,
4238724,4238749,2022-08-16_13-05-39-140709,4238752,25,
4243869,4243894,2022-08-16_13-05-44-416111,4243897,25,
4248977,4249000,2022-08-16_13-05-49-653460,4249004,23,
4254085,4254114,2022-08-16_13-05-54-893761,4254117,29,
4259193,4259248,2022-08-16_13-06-00-150751,4259251,55,
4264301,4264326,2022-08-16_13-06-05-370844,4264329,25,
4269438,4269462,2022-08-16_13-06-10-637736,4269465,24,
4274610,4274635,2022-08-16_13-06-15-936925,4274638,25,
4279717,4279791,2022-08-16_13-06-21-225174,4279794,74,
4284826,4284856,2022-08-16_13-06-26-413413,4284859,30,
4289935,4289956,2022-08-16_13-06-31-649109,4289960,21,
4295042,4295066,2022-08-16_13-06-36-891811,4295070,24,
4300203,4300243,2022-08-16_13-06-42-200077,4300247,40,
4305309,4305333,2022-08-16_13-06-47-417433,4305336,24,
4310416,4310444,2022-08-16_13-06-52-651159,4310448,28,
4315535,4315559,2022-08-16_13-06-57-901967,4315562,24,
4320642,4320666,2022-08-16_13-07-03-141340,4320669,24,
4325783,4325807,2022-08-16_13-07-08-411083,4325811,24,
4330947,4330972,2022-08-16_13-07-13-702762,4330976,25,
4336055,4336080,2022-08-16_13-07-18-944092,4336084,25,
4341214,4341241,2022-08-16_13-07-24-236943,4341244,27,
4346367,4346393,2022-08-16_13-07-29-518507,4346396,26,
4351504,4351529,2022-08-16_13-07-34-786959,4351534,25,
4356651,4356680,2022-08-16_13-07-40-064817,4356683,29,
4361792,4361819,2022-08-16_13-07-45-336314,4361822,27,
4366942,4366968,2022-08-16_13-07-50-614784,4366971,26,
4372051,4372078,2022-08-16_13-07-55-851340,4372081,27,
4377188,4377214,2022-08-16_13-08-01-122741,4377217,26,
4382339,4382362,2022-08-16_13-08-06-402453,4382365,23,
4387459,
4392601,4392651,2022-08-16_13-08-16-950335,4392656,50,
4397757,4397780,2022-08-16_13-08-22-210886,4397784,23,
4402916,4408019,2022-08-16_13-08-27-710366,4408023,5103,
4408023,4408050,2022-08-16_13-08-32-740161,4408053,27,
4413161,4413188,2022-08-16_13-08-38-008844,4413191,27,
4418322,4418348,2022-08-16_13-08-43-301983,4418351,26,
