LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1658857056.388257,1964285.000,52346,1,B%,1,100,57
1658857057.389922,1965262.000,52513,1,B%,1,100,57
1658857058.387486,1966235.000,52662,1,B%,1,100,57
1658857059.386076,1967209.000,52832,1,B%,1,100,57
1658857060.382615,1968181.000,52980,1,B%,1,100,57
1658857061.379153,1969153.000,53129,1,B%,1,100,56
1658857062.377743,1970127.000,53294,1,B%,1,100,57
1658857063.376332,1971101.000,53441,1,B%,1,100,57
1658857064.372871,1972073.000,53607,1,B%,1,100,57
1658857065.373511,1973049.000,53759,1,B%,1,100,57
1658857066.373126,1974024.000,53924,1,B%,1,100,57
