LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1658874922.338121,230053.000,35244,1,TH,1,100,30.808
1658874922.441666,230154.000,35261,1,TH,1,100,30.808
1658874922.549312,230259.000,35276,1,TH,1,100,30.783
1658874922.752301,230457.000,35309,1,TH,1,100,30.783
1658874922.854821,230557.000,35326,1,TH,1,100,30.830
1658874922.958367,230658.000,35342,1,TH,1,100,30.837
1658874923.167507,230862.000,35375,1,TH,1,100,30.729
1658874923.289506,230981.000,35392,1,TH,1,100,30.729
1658874923.392026,231081.000,35411,1,TH,1,100,30.789
1658874923.495571,231182.000,35428,1,TH,1,100,30.789
1658874923.702662,231384.000,35460,1,TH,1,100,30.855
1658874923.806207,231485.000,35476,1,TH,1,100,30.855
1658874923.909752,231586.000,35493,1,TH,1,100,30.772
1658874924.013297,231687.000,35510,1,TH,1,100,30.772
1658874924.220388,231889.000,35544,1,TH,1,100,30.844
1658874924.323933,231990.000,35562,1,TH,1,100,30.844
1658874924.427478,232091.000,35578,1,TH,1,100,30.781
1658874924.634568,232293.000,35610,1,TH,1,100,30.781
1658874924.738114,232394.000,35627,1,TH,1,100,30.806
1658874924.841659,232495.000,35643,1,TH,1,100,30.806
1658874924.965708,232616.000,35661,1,TH,1,100,30.791
1658874925.171773,232817.000,35695,1,TH,1,100,30.791
1658874925.276344,232919.000,35713,1,TH,1,100,30.882
1658874925.379889,233020.000,35731,1,TH,1,100,30.889
1658874925.567500,233203.000,35753,1,TH,1,100,30.810
1658874925.681298,233314.000,35770,1,TH,1,100,30.810
1658874925.782792,233413.000,35787,1,TH,1,100,30.836
1658874925.886338,233514.000,35803,1,TH,1,100,30.836
1658874926.093428,233716.000,35836,1,TH,1,100,30.836
1658874926.196973,233817.000,35853,1,TH,1,100,30.836
1658874926.300518,233918.000,35870,1,TH,1,100,30.863
1658874926.409189,234024.000,35886,1,TH,1,100,30.863
1658874926.612179,234222.000,35918,1,TH,1,100,30.802
1658874926.714699,234322.000,35935,1,TH,1,100,30.810
1658874926.836698,234441.000,35952,1,TH,1,100,30.837
1658874926.943318,234545.000,35967,1,TH,1,100,30.837
1658874927.148358,234745.000,36001,1,TH,1,100,30.825
1658874927.250878,234845.000,36020,1,TH,1,100,30.825
1658874927.363650,234955.000,36039,1,TH,1,100,30.812
1658874927.569715,235156.000,36070,1,TH,1,100,30.812
1658874927.673261,235257.000,36088,1,TH,1,100,30.822
1658874927.777831,235359.000,36104,1,TH,1,100,30.822
1658874927.880351,235459.000,36121,1,TH,1,100,30.842
1658874928.087441,235661.000,36154,1,TH,1,100,30.849
1658874928.190987,235762.000,36170,1,TH,1,100,30.912
1658874928.294532,235863.000,36188,1,TH,1,100,30.912
1658874928.405253,235971.000,36203,1,TH,1,100,30.814
1658874928.605167,236166.000,36235,1,TH,1,100,30.814
1658874928.710763,236269.000,36253,1,TH,1,100,30.823
1658874928.813283,236369.000,36269,1,TH,1,100,30.823
1658874929.021399,236572.000,36301,1,TH,1,100,30.851
1658874929.124944,236673.000,36319,1,TH,1,100,30.851
1658874929.228489,236774.000,36335,1,TH,1,100,30.879
1658874929.338185,236881.000,36352,1,TH,1,100,30.879
1658874929.539124,237077.000,36384,1,TH,1,100,30.884
1658874929.641644,237177.000,36401,1,TH,1,100,30.891
1658874929.745190,237278.000,36418,1,TH,1,100,30.886
1658874929.953305,237481.000,36449,1,TH,1,100,30.886
1658874930.055825,237581.000,36467,1,TH,1,100,30.855
1658874930.159370,237682.000,36486,1,TH,1,100,30.855
1658874930.270092,237790.000,36501,1,TH,1,100,30.936
1658874930.478208,237993.000,36534,1,TH,1,100,30.936
1658874930.581753,238094.000,36551,1,TH,1,100,30.911
1658874930.694525,238204.000,36574,2,TH,1,100,30.911
1658874930.807297,238314.000,36574,2,TH,1,100,30.855
1658874931.014387,238516.000,36606,1,TH,1,100,30.862
1658874931.119983,238619.000,36623,1,TH,1,100,30.920
1658874931.221478,238718.000,36640,1,TH,1,100,30.920
1658874931.428568,238920.000,36672,1,TH,1,100,30.860
1658874931.537239,239026.000,36688,1,TH,1,100,30.860
1658874931.640784,239127.000,36706,1,TH,1,100,30.895
1658874931.744329,239228.000,36724,1,TH,1,100,30.895
1658874931.952445,239431.000,36756,1,TH,1,100,30.776
1658874932.054965,239531.000,36774,1,TH,1,100,30.776
1658874932.158510,239632.000,36790,1,TH,1,100,30.824
1658874932.264106,239735.000,36806,1,TH,1,100,30.824
1658874932.469146,239935.000,36839,1,TH,1,100,30.839
1658874932.572691,240036.000,36855,1,TH,1,100,30.846
1658874932.676236,240137.000,36873,1,TH,1,100,30.879
1658874932.883326,240339.000,36906,1,TH,1,100,30.879
1658874932.986871,240440.000,36923,1,TH,1,100,30.874
1658874933.090417,240541.000,36941,1,TH,1,100,30.874
1658874933.194987,240643.000,36956,1,TH,1,100,30.869
1658874933.401052,240844.000,36989,1,TH,1,100,30.869
1658874933.504597,240945.000,37006,1,TH,1,100,30.876
1658874933.609168,241047.000,37022,1,TH,1,100,30.876
1658874933.815233,241248.000,37054,1,TH,1,100,30.881
1658874933.918778,241349.000,37071,1,TH,1,100,30.888
1658874934.022323,241450.000,37088,1,TH,1,100,30.898
1658874934.125869,241551.000,37106,1,TH,1,100,30.898
1658874934.332959,241753.000,37140,1,TH,1,100,30.890
1658874934.436504,241854.000,37156,1,TH,1,100,30.890
1658874934.540049,241955.000,37173,1,TH,1,100,30.926
1658874934.658973,242071.000,37189,1,TH,1,100,30.926
1658874934.861962,242269.000,37221,1,TH,1,100,30.896
1658874934.964482,242369.000,37239,1,TH,1,100,30.896
1658874935.068027,242470.000,37256,1,TH,1,100,30.931
1658874935.191051,242590.000,37272,1,TH,1,100,30.931
1658874935.396091,242790.000,37307,1,TH,1,100,30.890
1658874935.499636,242891.000,37323,1,TH,1,100,30.890
1658874935.603182,242992.000,37340,1,TH,1,100,31.009
1658874935.816423,243200.000,37372,1,TH,1,100,31.016
1658874935.929708,243310.500,37395,2,TH,1,100,30.918
1658874936.042992,243421.000,37395,2,TH,1,100,30.918
1658874936.146538,243522.000,37412,1,TH,1,100,30.910
1658874936.254184,243627.000,37428,1,TH,1,100,30.910
1658874936.457173,243825.000,37461,1,TH,1,100,30.895
1658874936.560718,243926.000,37477,1,TH,1,100,30.895
1658874936.664263,244027.000,37495,1,TH,1,100,30.952
1658874936.872379,244230.000,37526,1,TH,1,100,30.952
1658874936.975924,244331.000,37545,1,TH,1,100,30.940
1658874937.078444,244431.000,37563,1,TH,1,100,30.947
1658874937.187115,244537.000,37578,1,TH,1,100,30.955
1658874937.389080,244734.000,37611,1,TH,1,100,30.955
1658874937.497751,244840.000,37628,1,TH,1,100,30.970
1658874937.600271,244940.000,37644,1,TH,1,100,30.970
1658874937.807361,245142.000,37676,1,TH,1,100,30.992
1658874937.912957,245245.000,37693,1,TH,1,100,30.992
1658874938.014452,245344.000,37710,1,TH,1,100,30.989
1658874938.120047,245447.000,37728,1,TH,1,100,30.989
1658874938.325087,245647.000,37760,1,TH,1,100,30.997
1658874938.428632,245748.000,37776,1,TH,1,100,30.997
1658874938.532178,245849.000,37793,1,TH,1,100,30.957
1658874938.740293,246052.000,37827,1,TH,1,100,30.957
1658874938.842813,246152.000,37843,1,TH,1,100,30.972
1658874938.946358,246253.000,37861,1,TH,1,100,30.979
1658874939.050929,246355.000,37877,1,TH,1,100,31.055
1658874939.256994,246556.000,37909,1,TH,1,100,31.055
1658874939.360539,246657.000,37927,1,TH,1,100,31.014
1658874939.464084,246758.000,37945,1,TH,1,100,31.014
1658874939.672200,246961.000,37977,1,TH,1,100,30.931
1658874939.774720,247061.000,37994,1,TH,1,100,30.931
1658874939.878265,247162.000,38010,1,TH,1,100,30.976
1658874939.982835,247264.000,38028,1,TH,1,100,30.976
1658874940.188900,247465.000,38060,1,TH,1,100,30.996
1658874940.292446,247566.000,38077,1,TH,1,100,30.996
1658874940.395991,247667.000,38094,1,TH,1,100,30.986
1658874940.603081,247869.000,38126,1,TH,1,100,30.993
1658874940.706626,247970.000,38142,1,TH,1,100,30.963
1658874940.810172,248071.000,38159,1,TH,1,100,30.963
1658874940.913717,248172.000,38175,1,TH,1,100,30.973
1658874941.120807,248374.000,38208,1,TH,1,100,30.973
1658874941.222815,248473.500,38233,2,TH,1,100,31.086
1658874941.324822,248573.000,38233,2,TH,1,100,31.086
1658874941.525761,248769.000,38264,1,TH,1,100,30.932
1658874941.648785,248889.000,38281,1,TH,1,100,30.932
1658874941.753356,248991.000,38298,1,TH,1,100,31.093
1658874941.854850,249090.000,38314,1,TH,1,100,31.093
1658874942.062966,249293.000,38347,1,TH,1,100,30.952
1658874942.166511,249394.000,38364,1,TH,1,100,30.952
1658874942.269031,249494.000,38381,1,TH,1,100,31.023
1658874942.376677,249599.000,38397,1,TH,1,100,31.030
1658874942.580692,249798.000,38429,1,TH,1,100,30.902
1658874942.684237,249899.000,38446,1,TH,1,100,30.902
1658874942.786757,249999.000,38463,1,TH,1,100,30.992
1658874943.001024,250208.000,38495,1,TH,1,100,30.992
1658874943.103544,250308.000,38512,1,TH,1,100,30.969
1658874943.207089,250409.000,38529,1,TH,1,100,30.969
1658874943.310634,250510.000,38546,1,TH,1,100,31.052
1658874943.517725,250712.000,38577,1,TH,1,100,31.052
1658874943.621270,250813.000,38595,1,TH,1,100,31.022
1658874943.725840,250915.000,38611,1,TH,1,100,31.029
1658874943.932930,251117.000,38643,1,TH,1,100,31.046
1658874944.037501,251219.000,38661,1,TH,1,100,31.046
1658874944.140021,251319.000,38677,1,TH,1,100,31.152
1658874944.244591,251421.000,38694,1,TH,1,100,31.152
1658874944.450656,251622.000,38726,1,TH,1,100,31.031
1658874944.554202,251723.000,38742,1,TH,1,100,31.031
1658874944.657747,251824.000,38760,1,TH,1,100,30.928
1658874944.864837,252026.000,38791,1,TH,1,100,30.928
1658874944.968382,252127.000,38808,1,TH,1,100,31.062
1658874945.071928,252228.000,38826,1,TH,1,100,31.061
